"X","FacsMarker","Individual","InferredCellType","Organ","SamplingSite","Time"
"22028_4_289","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_291","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_293","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_295","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_297","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_299","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_3","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_301","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_303","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_305","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_309","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_311","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_337","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_341","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_343","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_345","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_347","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_349","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_351","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_49","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_5","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_51","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_53","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_55","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_59","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_63","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_65","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_69","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_7","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_71","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_9","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_97","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_99","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_101","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_105","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_107","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_109","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_11","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_111","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_113","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_117","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_119","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_13","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_147","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_149","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_15","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_151","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_153","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_155","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_157","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_159","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_161","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_163","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_165","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_167","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
