Gene	A_1	A_2	A_3	A_4	A_5	B_1	B_2	B_3	B_4	B_5
RASSF3	3342	2762	1954	3968	2340	804	830	858	699	469
RASSF4	1261	1181	827	1570	968	5945	6344	6365	5232	3260
RASSF5	2263	2099	1519	2847	1819	1099	1255	1119	943	656
RASSF6	20	20	15	21	21	5	2	2	4	7
RASSF7	528	744	560	833	1263	685	621	684	618	684
RASSF8	3278	2694	1901	3873	2545	2866	2842	2982	2389	1746
RASSF9	271	229	146	272	203	23	20	12	17	16
RAVER1	3397	4028	2698	4612	6568	1144	1139	1173	1043	1112
RAVER2	2095	1693	1157	2344	1549	1829	1832	1935	1613	1057
RAX	0	0	0	1	0	3	3	1	3	4
RAX2	1	0	0	0	1	8	6	1	1	4
RB1	8483	6600	4643	9625	6508	3247	3218	3633	2753	2134
RB1CC1	5478	4155	3053	6185	4465	10610	10373	11515	8909	7231
RBAK	2742	2224	1605	3100	2224	1688	1661	1891	1416	1175
RBAK-LOC389458	1	0	0	0	0	0	0	0	2	0
RBBP4	17547	14867	9977	19921	12421	7521	7813	7967	6697	4448
RBBP5	2744	2299	1552	3240	2080	2343	2362	2598	2078	1424
RBBP6	5748	4946	3440	6677	5381	3985	3944	4081	3242	2783
RBBP7	15045	12600	8337	18132	10756	4536	4585	4613	3984	2735
RBBP8	3826	3246	2147	4586	2855	411	429	411	355	276
RBBP9	2850	2241	1629	3374	1762	1372	1464	1516	1252	763
RBCK1	3565	4146	2663	5091	4792	3342	3434	3432	3001	2397
RBFA	2244	2045	1301	2791	1371	1051	1145	1052	946	569
RBFOX1	43	33	29	54	49	14407	14568	15307	12650	9346
RBFOX2	8508	7419	5055	10133	6112	21115	22048	22361	18229	12155
RBFOX3	37	60	30	67	69	11359	11489	11685	9771	10313
RBKS	211	197	130	251	116	222	246	247	193	115
RBL1	1900	1569	1056	2079	1340	254	277	299	225	127
RBL2	5843	5053	3506	6940	4628	5616	5944	6084	4809	3512
RBM10	5030	5879	3748	6764	5169	4328	4596	4203	3889	2671
RBM11	72	61	40	72	36	555	570	574	467	362
RBM12	8896	7874	5288	10617	6796	3702	3840	3929	3205	2172
RBM12B	2764	2388	1583	3090	1926	1516	1545	1506	1222	694
RBM14	4776	5193	3340	6057	4106	3562	3772	3771	3227	1930
RBM14-RBM4	4	7	1	5	9	3	5	1	1	4
RBM15	1534	1407	936	1603	1041	636	631	649	490	303
